1,1007,"556372 415865 7836","2016-07-24 18:50:40"
2,1641,"5164156027934901","2012-02-06 09:26:32"
3,1285,"537 11987 97630 946","2016-11-30 15:09:54"
4,19,"5222706014899671","2018-06-04 09:15:45"
5,112,"5217019109480531","2015-07-04 00:14:53"
6,1946,"535223 4006505059","2015-07-12 01:10:42"
7,278,"5372192888966870","2018-05-06 14:43:09"
8,1598,"550514 1831004743","2016-09-07 20:27:03"
9,1632,"5370028108963218","2011-08-08 11:24:07"
10,694,"5150 8453 2333 7829","2015-08-06 04:21:23"
11,620,"528460 4884435582","2014-12-15 02:29:26"
13,792,"556 08156 53389 017","2012-11-27 19:08:01"
14,359,"525 25634 41221 588","2013-04-07 16:53:29"
16,1706,"533 90410 29734 030","2015-05-25 04:25:22"
17,437,"558144 852106 6081","2014-01-23 06:29:40"
18,1167,"552 02295 24919 813","2018-03-25 15:59:18"
19,758,"528 68989 23374 632","2017-04-29 09:31:24"
20,815,"5424 8989 3196 5176","2011-01-12 15:13:09"
21,211,"5497092214877744","2011-02-26 22:27:14"
22,583,"547459 2560089551","2011-08-15 06:12:17"
23,798,"5308459091743902","2018-04-19 17:31:49"
24,1919,"541432 9964244406","2014-07-30 06:15:09"
26,1255,"513351 054296 3837","2017-01-22 13:43:51"
27,1252,"5443 0178 5862 4305","2011-05-10 13:33:52"
28,1551,"533282 135910 9607","2013-09-25 10:24:22"
30,1645,"548851 7911570342","2013-10-19 20:26:09"
31,244,"542638 4040709878","2018-10-30 05:29:19"
32,806,"545988 5581865879","2017-03-21 07:37:26"
34,231,"513 26567 73083 968","2018-08-24 21:25:20"
35,1278,"5453 3892 3239 5481","2013-03-02 17:56:11"
36,1065,"5398943018590455","2012-08-09 17:32:31"
38,737,"5311671003352912","2013-12-23 21:16:05"
39,1429,"531 61298 62567 810","2013-07-30 18:15:14"
40,512,"547676 8950605895","2016-08-14 12:18:20"
41,101,"5599 6933 4180 5560","2017-03-14 20:56:59"
42,1222,"5424234969980988","2012-03-18 19:12:28"
43,434,"558351 838048 0686","2018-06-07 17:12:18"
44,843,"553 97013 37716 684","2014-02-10 18:45:48"
45,1827,"550 03558 79640 730","2011-05-07 05:37:34"
46,528,"520 75334 66603 370","2017-06-15 19:29:38"
47,1426,"553336 7494405358","2016-11-19 19:13:00"
48,260,"5477335771473686","2016-11-02 20:34:43"
49,1671,"5525816475837674","2011-10-15 04:17:41"
50,1505,"5312 7226 7185 6269","2018-08-05 04:07:58"
52,307,"519993 939062 3857","2018-07-16 17:29:08"
54,1846,"521221 805314 3112","2013-01-20 20:33:57"
55,188,"537955 482924 6188","2013-06-14 16:36:54"
56,444,"542442 300671 7988","2014-04-28 20:16:53"
57,1626,"530564 8448063245","2017-04-13 11:51:22"
