14,1259,"506-07-28-08-55","2010-03-05 04:33:31"
16,1154,"506-60-35-14-43","2010-03-22 14:02:51"
27,969,"506-72-99-33-14","2010-12-03 17:54:51"
29,777,"506-41-34-64-59","2010-10-17 00:01:49"
32,28,"506-43-92-51-28","2010-12-06 01:09:49"
45,1613,"506-62-51-33-84","2010-07-31 13:01:15"
50,1674,"506-99-27-85-25","2010-01-30 08:38:36"
58,1884,"506-19-14-10-08","2010-01-13 17:45:16"
59,1271,"506-59-71-68-00","2010-11-19 00:50:19"
82,97,"506-66-39-91-38","2010-07-01 23:33:33"
88,878,"506-65-00-70-53","2010-06-01 14:06:31"
108,822,"506-96-26-76-74","2010-09-22 21:57:13"
109,152,"506-76-20-97-96","2010-10-08 06:06:57"
112,1309,"506-67-92-65-97","2010-11-11 11:48:05"
136,1068,"506-90-28-03-80","2010-03-01 20:11:47"
153,624,"506-78-36-79-22","2010-12-19 22:10:15"
159,1990,"506-36-57-77-99","2010-01-20 17:37:35"
160,1408,"506-45-06-21-12","2010-12-20 23:35:49"
168,1691,"506-81-69-56-20","2010-06-18 16:54:07"
193,508,"506-43-43-84-12","2010-10-16 04:08:36"
206,1983,"506-51-60-10-81","2010-03-01 04:27:59"
220,1954,"506-00-62-95-28","2010-06-23 10:59:40"
231,471,"506-17-92-74-64","2010-06-29 00:43:03"
242,1427,"506-57-61-64-05","2010-01-04 15:36:13"
245,1268,"506-35-51-17-62","2010-03-18 10:46:04"
255,672,"506-79-01-10-22","2010-11-05 17:06:21"
264,336,"506-51-07-49-50","2010-06-18 15:03:43"
266,980,"506-10-15-18-96","2010-03-27 03:36:32"
276,964,"506-28-77-54-54","2010-04-30 12:02:49"
277,1480,"506-43-12-30-92","2010-05-31 18:55:26"
295,1594,"506-05-94-20-25","2010-04-10 15:23:21"
323,1627,"506-18-50-01-50","2010-05-13 22:50:55"
326,1121,"506-33-23-24-38","2010-11-28 09:35:17"
338,1803,"506-42-85-10-05","2010-08-21 09:04:25"
345,1321,"506-63-29-07-91","2010-08-11 07:34:53"
353,1765,"506-77-67-34-33","2010-01-07 12:23:27"
366,409,"506-11-54-91-37","2010-07-22 17:28:59"
370,235,"506-66-25-21-26","2010-08-25 18:44:21"
372,455,"506-09-69-99-99","2010-11-27 11:52:08"
378,449,"506-70-31-71-06","2010-08-31 10:52:23"
382,1986,"506-43-46-61-29","2010-02-17 20:08:46"
389,1548,"506-07-71-04-39","2010-07-16 13:22:18"
391,832,"506-73-12-27-19","2010-05-02 05:21:57"
397,947,"506-93-72-92-22","2010-03-29 22:13:46"
405,504,"506-95-32-84-31","2010-11-20 18:37:38"
414,1037,"506-81-84-33-98","2010-01-08 19:45:50"
415,1900,"506-03-17-77-00","2010-07-07 01:19:11"
416,900,"506-80-47-59-18","2010-05-21 23:35:37"
430,556,"506-93-61-76-55","2010-10-26 22:11:43"
451,633,"506-61-52-96-70","2010-10-29 19:07:31"
453,1402,"506-73-61-10-23","2010-01-03 16:02:35"
482,1311,"506-37-65-50-63","2010-01-06 20:01:11"
485,455,"506-00-27-86-59","2010-06-24 11:28:29"
496,347,"506-06-28-82-07","2010-10-13 08:46:22"
504,1244,"506-42-56-81-80","2010-06-25 01:30:19"
508,1401,"506-50-36-93-17","2010-05-27 18:06:54"
511,1780,"506-22-92-26-39","2010-04-03 03:11:17"
519,1782,"506-08-38-77-87","2010-01-12 04:51:27"
529,1170,"506-36-76-77-11","2010-10-06 06:05:57"
538,1265,"506-54-96-04-36","2010-11-04 08:50:07"
544,762,"506-43-46-13-63","2010-12-09 07:57:44"
559,1331,"506-85-93-61-36","2010-08-28 20:22:27"
562,1641,"506-44-97-79-84","2010-01-27 05:55:32"
566,1833,"506-87-88-87-84","2010-02-01 21:16:42"
580,1482,"506-26-46-16-36","2010-05-16 05:47:49"
610,1997,"506-97-49-49-43","2010-05-13 04:26:58"
616,193,"506-09-73-50-01","2010-11-15 05:30:18"
618,1035,"506-72-55-10-85","2010-01-16 01:16:38"
621,800,"506-93-32-53-49","2010-09-30 14:57:27"
622,727,"506-85-60-70-51","2010-09-10 15:56:09"
624,1751,"506-82-73-23-97","2010-09-16 06:48:24"
642,1699,"506-30-90-46-75","2010-03-27 01:45:14"
654,760,"506-84-91-97-01","2010-02-07 13:30:05"
671,1871,"506-08-12-56-01","2010-10-25 03:21:06"
691,111,"506-33-76-99-61","2010-11-04 04:23:35"
731,1872,"506-60-94-44-95","2010-07-07 14:52:40"
732,474,"506-49-94-81-34","2010-12-13 11:13:29"
735,1567,"506-07-31-59-27","2010-02-22 10:32:27"
761,496,"506-06-47-88-13","2010-07-13 05:04:55"
764,898,"506-77-66-48-96","2010-06-30 09:50:25"
778,52,"506-62-73-44-38","2010-11-10 01:41:12"
788,1302,"506-63-70-46-84","2010-04-26 03:59:15"
804,1248,"506-46-46-31-91","2010-06-27 11:10:19"
821,1726,"506-94-24-99-66","2010-03-05 11:13:59"
831,1325,"506-49-80-72-21","2010-06-30 10:58:53"
844,339,"506-90-34-24-54","2010-05-16 04:24:15"
851,1351,"506-73-56-92-60","2010-12-20 06:36:51"
855,196,"506-01-84-55-50","2010-09-21 04:56:20"
858,1765,"506-09-09-89-85","2010-06-19 18:39:19"
859,1887,"506-92-03-87-32","2010-01-30 04:38:57"
871,1524,"506-30-58-15-02","2010-08-10 07:46:38"
878,7,"506-76-65-53-89","2010-09-24 19:19:11"
902,221,"506-99-15-46-07","2010-08-01 02:34:57"
912,1719,"506-03-90-03-38","2010-06-14 07:14:38"
917,1265,"506-76-30-57-20","2010-04-01 15:30:14"
931,1169,"506-16-73-48-38","2010-02-22 04:35:28"
949,537,"506-24-29-10-89","2010-07-26 23:26:10"
961,267,"506-72-55-88-76","2010-08-16 09:43:14"
969,848,"506-51-92-95-20","2010-04-11 16:01:15"
975,1273,"506-75-19-77-38","2010-08-24 07:25:35"
996,1000,"506-46-38-54-93","2010-02-19 19:57:06"
998,1694,"506-09-58-05-57","2010-03-14 19:12:09"
1001,1419,"506-22-50-30-28","2010-01-13 03:46:23"
1012,1200,"506-92-19-11-81","2010-08-25 05:32:19"
1019,1286,"506-14-61-85-53","2010-04-23 02:36:56"
